"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","epithelial cell differentiation","GO:0030855","false","0.048989029418829086","1.3099011647939725","746","107","14","21026","CLIC4,HES1,AKT1,TXNIP,PCK2,AKR1C1,AKR1C2,BAD,HIF1A,AGR2,CDC42,TYMS,GJA1,SRSF6"
"REAC","SARS-CoV Infections","REAC:R-HSA-9679506","false","0.012436396447154673","1.9053054419788522","459","82","13","11004","NFKBIA,FKBP1A,AKT1,ANO1,FXYD7,CTSL,ST6GALNAC2,NCK1,IFIH1,KPNA2,RPS4Y1,STT3A,GJA1"
"REAC","Intrinsic Pathway for Apoptosis","REAC:R-HSA-109606","false","0.019149362034001652","1.7178456900884613","54","82","5","11004","CYCS,CASP7,AKT1,AVEN,BAD"
"REAC","SARS-CoV-1 Infection","REAC:R-HSA-9678108","false","0.03162420949030871","1.4999803217303609","140","82","7","11004","NFKBIA,FKBP1A,CTSL,ST6GALNAC2,IFIH1,KPNA2,RPS4Y1"
"REAC","Cytochrome c-mediated apoptotic response","REAC:R-HSA-111461","false","0.0428941358496089","1.3676020770981445","13","82","3","11004","CYCS,CASP7,AVEN"
"TF","Factor: E2F-2; motif: GCGCGCGCNCS; match class: 1","TF:M11529_1","false","0.0030360253217732907","2.517694610556349","14924","114","105","20092","DDIT4,NFKBIA,KIF20A,NPC1,PHGDH,MRPS2,CLIC4,PAPSS2,GLRX,HES1,FKBP1A,ADGRE5,SV2C,COG7,MAP3K4,AGL,MT1H,TSC22D3,SSBP2,SKIV2L,CYCS,CASP7,TUBGCP3,CCDC92,MFSD10,AKT1,MAIP1,AVEN,CBS,PCK2,ANO1,KIF2A,EIF1B,GDF15,CSRP1,USP18,RRM1,TSC1,RBM6,MYH10,RHOD,FXYD7,PHKB,BAD,DNM3,LYN,ABCA2,CTSL,TNK2,CCDC86,MCC,HIF1A,PPP6R1,ST6GALNAC2,MXD1,CDC42,LYRM1,NCK1,GNAI2,STK3,SLC37A4,IFIH1,TYMS,FEZ1,ZC3HAV1,EMP3,KPNA2,APOD,COQ7,PSME2,DROSHA,STT3A,SDF2L1,SLC25A44,FBXW4,TPMT,STMN2,SERPINB9,CD82,UFM1,RFX5,ITGB5,CABYR,PWP1,TCEA2,COLGALT1,RUNDC3A,EIF4EBP1,RAB11FIP2,SASH1,DDX47,SLC20A2,AATK,GJA1,SLC35F2,PIK3CD,SRSF6,SLC1A4,GTPBP8,NPPB,FBXO7,KLHL26,XK,IL15,SEL1L3"
"TF","Factor: ZF5; motif: GSGCGCGR; match class: 1","TF:M00716_1","false","0.018592700604365738","1.7306575240317335","14532","114","102","20092","DDIT4,NFKBIA,KIF20A,NPC1,PHGDH,MRPS2,CLIC4,PAPSS2,HES1,FKBP1A,ADGRE5,SV2C,COG7,MAP3K4,AGL,MT1H,TSC22D3,SSBP2,SKIV2L,CYCS,CASP7,TUBGCP3,CCDC92,MFSD10,AKT1,MAIP1,AVEN,CBS,TXNIP,PCK2,KIF2A,EIF1B,GDF15,MRPS31,CSRP1,USP18,RRM1,TSC1,RBM6,MYH10,RHOD,FXYD7,PHKB,BAD,DNM3,LYN,ABCA2,CTSL,TNK2,CCDC86,MCC,HIF1A,ST6GALNAC2,MXD1,CDC42,LYRM1,NCK1,GNAI2,STK3,SLC37A4,IFIH1,TYMS,FEZ1,ZC3HAV1,KPNA2,APOD,COQ7,PSME2,RPS4Y1,DROSHA,STT3A,SDF2L1,SLC25A44,FBXW4,TPMT,STMN2,SERPINB9,CD82,UFM1,ITGB5,CABYR,PWP1,TCEA2,COLGALT1,RUNDC3A,EIF4EBP1,RAB11FIP2,SASH1,DDX47,SLC20A2,AATK,GJA1,SLC35F2,PIK3CD,SRSF6,SLC1A4,GTPBP8,FBXO7,KLHL26,XK,IL15,SEL1L3"
"HPA","Lymph node; germinal center cells[High]","HPA:0310433","false","0.028337867999778756","1.547632827015915","942","87","19","10995","KIF20A,PHGDH,ADGRE5,SSBP2,TUBGCP3,AKT1,KIF2A,RRM1,RBM6,LYN,NCK1,GNAI2,TYMS,KPNA2,RPS4Y1,RFX5,SLC1A4,GTPBP8,IL15"
"HPA","Kidney; proximal tubules (cell body)[≥Low]","HPA:0271141","false","0.040932711958961546","1.3879294806223916","728","87","16","10995","CLIC4,PAPSS2,SPP1,CYCS,PCK2,ANO1,RRM1,AKR1C1,RBM6,CTSL,MXD1,NCK1,TYMS,KPNA2,APOD,TPMT"
"HP","Abnormal abdomen morphology","HP:0001438","false","0.011154558891583588","1.9525475992697865","864","47","21","5080","NFKBIA,KIF20A,NPC1,SPP1,COG7,AGL,SKIV2L,AKT1,CBS,USP18,TSC1,PHKB,LYN,AGR2,SLC37A4,IFIH1,TYMS,RFX5,SLC20A2,PIK3CD,XK"
"HP","Visceromegaly","HP:0003271","false","0.028996053343798858","1.5376611099511113","766","47","19","5080","NFKBIA,KIF20A,NPC1,COG7,AGL,SKIV2L,AKT1,CBS,USP18,PHKB,LYN,AGR2,SLC37A4,IFIH1,TYMS,RFX5,SLC20A2,PIK3CD,XK"
