sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,log_dose,dose_bin,core_score
MOAR002_PC3_24H:B24,BRD-A84327315,PC3,0.348074,289,0.41,1.11111,uM,24.0,h,False,False,True,True,0.04575705626597609,low,2.8851045632183543
MUC.CP008_HA1E_24H:F07,BRD-K28731095,HA1E,0.179496,137,0.23,10.0,uM,24.0,h,True,False,True,True,1.0,high,2.5247103654351237
REP.B001_PC3_24H:I16,BRD-K28731095,PC3,0.296478,294,0.2924,0.0854701,uM,24.0,h,False,False,True,True,-1.068185787916106,low,3.32454257828267
REP.B001_PC3_24H:I17,BRD-K28731095,PC3,0.176856,175,0.1748,0.02849,uM,24.0,h,False,False,True,True,-1.5453075507605232,low,2.7183729754793236
REP.B001_PC3_24H:I18,BRD-K28731095,PC3,0.172192,163,0.1779,0.00949668,uM,24.0,h,False,False,True,True,-2.0224281957305514,low,2.4373408170845514
LKCP002_A549_24H:N19,BRD-K28731095,A549,0.0867759,76,0.0969,5.0,uM,24.0,h,False,False,True,True,0.6989700043360189,high,1.6877477462662367
LKCP002_A549_24H:N20,BRD-K28731095,A549,0.112583,113,0.1097,0.5,uM,24.0,h,False,False,True,True,-0.3010299956639812,low,1.2581587544713415
LKCP002_A549_24H:N21,BRD-K28731095,A549,0.0687606,85,0.0544,0.05,uM,24.0,h,False,False,True,True,-1.3010299956639813,low,1.741748297635662
LKCP002_MCF7_24H:N19,BRD-K28731095,MCF7,0.15868,127,0.1939,5.0,uM,24.0,h,False,False,True,True,0.6989700043360189,high,2.8789929550322
LKCP002_MCF7_24H:N20,BRD-K28731095,MCF7,0.197159,139,0.2735,0.5,uM,24.0,h,False,False,True,True,-0.3010299956639812,low,2.3193105503479425
CRCGN004_PC3_24H:BRD-A66229260-001-01-6:10,BRD-A66229260,PC3,0.181451,115,0.28,10.0,uM,24.0,h,True,False,True,True,1.0,high,3.037934046175426
LKCP001_A549_24H:E19,BRD-K28731095,A549,0.186088,142,0.2385,5.0,uM,24.0,h,False,False,True,True,0.6989700043360189,high,1.990400948885745
LKCP001_A549_24H:E20,BRD-K28731095,A549,0.0766896,83,0.0693,0.5,uM,24.0,h,False,False,True,True,-0.3010299956639812,low,0.9208902604993081
LKCP001_A549_24H:E21,BRD-K28731095,A549,0.0802654,44,0.1432,0.05,uM,24.0,h,False,False,True,True,-1.3010299956639813,low,0.9033822872625006
LKCP001_A549_24H:F07,BRD-K84163249,A549,0.19494,135,0.2753,10.0,uM,24.0,h,True,False,True,True,1.0,high,2.2648201402351087
ASG002_A549_24H:A24,BRD-K56429665,A549,0.130607,201,0.083,0.1,uM,24.0,h,False,False,True,True,-1.0,low,1.7713328580359677
ASG002_A549_24H:A23,BRD-K56429665,A549,0.119695,121,0.1158,1.0,uM,24.0,h,False,False,True,True,0.0,low,1.1620035131205002
ASG002_A549_24H:O08,BRD-K27316855,A549,0.0747566,56,0.0976,1.0,uM,24.0,h,False,False,True,True,0.0,low,2.116309235028126
CPD002_PC3_24H:BRD-K96390176-001-01-1:10,BRD-K96390176,PC3,0.300868,227,0.39,10.0,uM,24.0,h,True,False,True,True,1.0,high,3.4499002568066635
CRCGN001_HA1E_24H:BRD-A31158127-001-01-2:10,BRD-A31158127,HA1E,0.639945,646,0.62,10.0,uM,24.0,h,False,False,False,False,1.0,high,1.0586694997203598
